"street","district","buildings"
"Затишье ул.","Советский",
"Захарова ул.","Партизанский","17-85, 22-106"
"Зацень ул.","Центральный",
"Звездная ул.","Октябрьский",
"Зеленая ул.","Первомайский",
"Зеленолугская ул.","Советский",
"Зеленый пер.","Центральный",
"Земледельческая ул.","Центральный",
"Земледельческий 1-й пер.","Центральный",
"Земледельческий 3-й пер.","Центральный",
"Землемерная 1-я ул.","Московский",
"Землемерная 2-я ул.","Московский",
"Землемерный пер.","Московский",
"Зенитный пер.","Московский",
"Зимний 1-й пер.","Заводской",
"Зимний 2-й пер.","Заводской",
"Зимняя ул.","Заводской",
"Бядули Змитрока ул.","Партизанский",
"Золотая Горка ул.","Советский",
"Золотая ул.","Центральный",
"Золотой пер.","Центральный",
"Зубачева 1-й пер.","Октябрьский",
"Зубачева 2-й пер.","Октябрьский",
"Зубачева 3-й пер.","Октябрьский",
"Зубачева ул.","Октябрьский",
"Ивановская ул.","Партизанский",
"Ивенецкая ул.","Фрунзенский",
"Игната Буйницкого ул.","Партизанский",
"Игнатенко ул.","Центральный",
"Игуменский тракт","Ленинский",
"Иерусалимская ул.","Московский",
"Извозная ул.","Московский",
"Извозный 1-й пер.","Московский",
"Извозный 2-й пер.","Московский",
"Извозный 3-й пер.","Московский",
"Измайловская ул.","Советский",
"Измайловский 1-й пер.","Советский",
"Измайловский 2-й пер.","Советский",
"Измайловский 3-й пер.","Советский",
"Измайловский 4-й пер.","Советский",
"Измайловский проезд","Советский",
"Изумрудный пер.","Центральный",
"Илимская ул.","Заводской",
"Ильменская ул.","Первомайский",
"Индустриальная ул.","Ленинский",
"Инженерная ул.","Заводской",
"Инструментальный пер.","Первомайский",
"Интернациональная ул.","Центральный",
"Иодковская ул.","Советский",
"Иодковский пер.","Советский",
"Ириновская ул.","Центральный",
"Ириновский пер.","Центральный",
"Иркутская ул.","Заводской",
"Иркутский пер.","Заводской",
"Искалиева ул.","Заводской",
"Кабушкина пер.","Заводской",
"Кабушкина ул.","Заводской",
"Каганца Каруся ул.","Ленинский",
"Казарменный пер.","Ленинский",
"Казея Марата ул.","Октябрьский",
"Казинца пл.","Октябрьский",
"Казинца ул.","Октябрьский",
"Калинина пер.","Первомайский",
"Калинина пл.","Первомайский",
"Калинина ул.","Первомайский",
"Калининградский пер.","Первомайский",
"Калиновского ул.","Первомайский",
"Кальварийская ул.","Фрунзенский",
"Кальварийский проезд","Фрунзенский",
"Канатный пер.","Центральный",
"Карастояновой Лилии ул.","Центральный",
"Карбышева ул.","Первомайский",
"Карла Либкнехта ул.","Московский",
"Карла Маркса ул.","Ленинский",
"Карпова ул.","Московский",
"Каховская ул.","Центральный",
"Каховский пер.","Центральный",
"Каштановая ул.","Советский",
"Кедышко ул.","Первомайский",
"Киевская ул.","Центральный",
"Кижеватова Лейт. ул.","Октябрьский",
"Киреева ул.","Октябрьский",
"Кирилла и Мефодия ул.","Центральный",
"Кирова ул.","Октябрьский","1-5, 2-6"
"Кирова ул.","Ленинский","7-45, 8-20, 47-51, 30-32"
"Киселева ул.","Центральный",
"Клецкая ул.","Заводской",
"Клецкий проезд","Заводской",
"Клубный проезд","Ленинский",
"Клумова пер.","Партизанский",
"Клумова ул.","Партизанский",
"Ключевая ул.","Партизанский",
"Кнорина ул.","Первомайский",
"Кобринская ул.","Октябрьский",
"Ковалева ул.","Фрунзенский",
"Ковалевской С. пер.","Московский",
"Козлова пер.","Партизанский",
"Козлова ул.","Первомайский","13-36"
"Козлова ул.","Советский","1-11"
"Козыревская ул.","Ленинский",
"Коласа Якуба пер.","Советский",
"Коласа Якуба пл.","Советский",
"Коласа Якуба ул.","Советский","1-73, 2-28"
"Коласа Якуба ул.","Первомайский","30-54"
"Колесникова ул.","Фрунзенский",
"Коллективный пер.","Партизанский",
"Коллективный проезд","Партизанский",
"Коллекторная ул.","Московский",
"Колхозная ул.","Фрунзенский",
"Кольцевая 1-я ул.","Заводской",
"Кольцевая 2-я ул.","Заводской",
"Кольцевой 1-й проезд","Заводской",
"Кольцевой 2-й проезд","Заводской",
"Кольцова 1-й пер.","Советский",
"Кольцова 2-й пер.","Советский",
"Кольцова 3-й пер.","Советский",
"Кольцова 4-й пер.","Советский",
"Кольцова проезд","Советский",
"Кольцова ул.","Советский",
"Комаровское кольцо","Советский",
"Коммунальная набережная","Центральный",
"Коммунистическая ул.","Центральный",
"Комсомольская ул.","Центральный","1-23, 2-30"
"Комсомольская ул.","Ленинский","25-35, 32-28"
"Кооперативный пер.","Московский",
"Копыльская ул.","Заводской",
"Копыльский 1-й пер.","Заводской",
"Копыльский проезд","Заводской",
"Копыльский тупик","Заводской",
"Корвата ул.","Партизанский",
"Коржа ул.","Московский",
"Корженевского пер.","Октябрьский",
"Корженевского ул.","Октябрьский",
"Корзюки пер.","Заводской",
"Корзюки ул.","Заводской",
"Корицкого ул.","Заводской",
"Короленко ул.","Первомайский",
"Короля ул.","Московский",
"Короткевича ул.","Октябрьский",
"Короткий 1-й пер.","Фрунзенский",
"Короткий 2-й пер.","Фрунзенский",
"Короткий 3-й пер.","Фрунзенский",
"Корш-Саблина ул.","Советский",
"Космодемьянской ул.","Первомайский",
"Космонавтов ул.","Московский",
"Котовского проезд","Заводской",
"Котовского ул.","Заводской",
"Кошевого Олега ул.","Партизанский",
"Крайняя ул.","Ленинский",
"Крамского ул.","Советский",
"Крапивы Кондрата ул.","Московский",
"Красивая ул.","Октябрьский",
"Красивый пер.","Октябрьский",
"Красина Акад.ул.","Заводской",
"Красная Слобода ул.","Заводской",
"Красная ул.","Центральный","1-11, 2-10"
"Красная ул.","Советский","13-23, 12-22"
"Красноармейская ул.","Ленинский","1-37, 2-74"
"Красноармейская ул.","Партизанский","41-46"
"Краснодонская ул.","Московский",
"Краснозвездная ул.","Советский","1-33, 2-10"
"Краснозвездная ул.","Первомайский","12-20"
"Краснозвездный пер.","Советский",
"Красномысленский пер.","Октябрьский",
"Краснослободская ул.","Заводской",
"Кривичская ул.","Советский",
"Кривичский 1-й пер.","Советский",
"Кривичский 2-й пер.","Советский",
"Кропоткина 1-й пер.","Советский",
"Кропоткина 2-й пер.","Советский",
"Кропоткина ул.","Советский",
"Круглый пер.","Ленинский",
"Крупской ул.","Заводской",
"Крупцы ул.","Центральный",
"Крыловича 1-й пер.","Советский",
"Крыловича 2-й пер.","Советский",
"Крыловича ул.","Советский",
"Кубанская ул.","Партизанский",
"Кузнечная ул.","Октябрьский",
"Кузнечный проезд","Октябрьский",
"Минина Кузьмы пер.","Московский",
"Минина Кузьмы ул.","Московский",
"Чорного Кузьмы пер.","Первомайский",
"Чорного Кузьмы ул.","Первомайский",
"Куйбышева ул.","Центральный","1-43, 2-22"
"Куйбышева ул.","Советский","55-103, 24-50"
"Кулешова ул.","Заводской",
"Кулибина ул.","Московский",
"Кульман ул.","Советский",
"Кунцевщина ул.","Фрунзенский",
"Купалы Янки ул.","Партизанский",2
"Купалы Янки ул.","Ленинский","5-17"
"Купалы Янки ул.","Центральный","19-59, 4-6"
"Купревича Акад. Ул.","Первомайский",
"Куприянова ул.","Московский",
