ул. Лещинского 55 	 Фрунзенский
ул. Одинцова 115-119 	 Фрунзенский
ул. Колесникова 16 	 Фрунзенский
ул. Киселева 17 	 Центральный
просп. Любимова 12 	 Московский
ул. Искалиева 16 	 Заводской
ул. Тухачевского 32 	 Заводской
просп. Пушкина 38 	 Фрунзенский
ул. Горовца 32 	 Ленинский
просп. Пушкина 38 	 Фрунзенский
просп. Пушкина 38 	 Фрунзенский
ул. Кнорина 19 	 Первомайский
ул. Седых 32 	 Первомайский
просп. Рокоссовского 77 	 Ленинский
ул. Ландера 82 	 Октябрьский
ул. Седых 32 	 Первомайский
ул. Выготского 39 	 Центральный
просп. Победителей 39 	 Центральный
ул. Селицкого 67 	 Заводской
просп. Рокоссовского 113 к4 	 Ленинский
просп. Любимова 33 	 Московский
ул. Пономаренко 32 	 Фрунзенский
ул. Павла Шпилевского 55 	 Ленинский
ул. Якубовского 32А 	 Фрунзенский
ул. Притыцкого 136 	 Фрунзенский
ул. Матусевича 32 	 Фрунзенский
ул. Кедышко 16 	 Первомайский
ул. Бельского 53 	 Фрунзенский
ул. Чкалова 15 1 	 Октябрьский
ул. Папанина 16 	 Московский
ул. Якубовского 34 	 Фрунзенский
ул. Папанина 16 	 Московский
ул. Шатько 16 	 Московский
ул. Якубовского 15 	 Фрунзенский
ул. Жудро 22 	 Фрунзенский
ул. Коржа 11 	 Московский
ул. Плеханова 63 	 Заводской
ул. Бельского 33 	 Фрунзенский
просп. Рокоссовского 43 	 Ленинский
ул. Бурдейного 55 	 Фрунзенский
ул. Одинцова 36 к1 	 Фрунзенский
ул. Бурдейного 49 	 Фрунзенский
просп. Любимова 33 	 Московский
ул. Одинцова 36 к1 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Якубовского 44 	 Фрунзенский
ул. Лещинского 33 2 	 Фрунзенский
ул. Притыцкого 142 	 Фрунзенский
ул. Притыцкого 142 	 Фрунзенский
ул. Чкалова 22 	 Октябрьский
ул. Авакяна 28 	 Октябрьский
ул. Громова 20 	 Московский
ул. Плеханова 30 	 Заводской
просп. Газеты Правда 60 2 	 Московский
ул. Плеханова 115 	 Заводской
ул. Смирнова 29 	 Московский
просп. Рокоссовского 18 к1 	 Ленинский
ул. Гинтовта 10 	 Первомайский
ул. Хмелевского 38 	 Московский
ул. Шаранговича 45 	 Фрунзенский
ул. Прушинских 46 	 Ленинский
ул. Прушинских 46 	 Ленинский
ул. Прушинских 46 	 Ленинский
ул. Бурдейного 45 	 Фрунзенский
ул. Гинтовта 10 	 Первомайский
ул. Бурдейного 49 	 Фрунзенский
ул. Волоха 53 	 Московский
просп. Рокоссовского 60 к1 	 Ленинский
ул. Лобанка 62 	 Фрунзенский
ул. Чкалова 36 	 Октябрьский
ул. Пулихова 43 	 Партизанский
просп. Рокоссовского 160 	 Ленинский
ул. Жудро 18 	 Фрунзенский
просп. Рокоссовского 114 	 Ленинский
просп. Победителей 75 1 	 Центральный
ул. Одинцова 19 	 Фрунзенский
ул. Жудро 35 	 Фрунзенский
просп. Рокоссовского 142 	 Ленинский
ул. Горовца 34 	 Ленинский
ул. Смирнова 21 	 Московский
ул. Тикоцкого 34 к1 	 Первомайский
ул. Авакяна 26 	 Октябрьский
ул. Героев 120 Дивизии 25 	 Первомайский
ул. Лещинского 45 	 Фрунзенский
ул. Бельского 35 	 Фрунзенский
ул. Героев 120 Дивизии 15 	 Первомайский
ул. Жудро 18 	 Фрунзенский
ул. Матусевича 25 	 Фрунзенский
просп. Дзержинского 11 	 Московский
ул. Болеслава Берута 16 к2 	 Фрунзенский
ул. Тикоцкого 10 	 Первомайский
ул. Бурдейного 11 	 Фрунзенский
ул. Коржа 11 	 Московский
ул. Матусевича 23 	 Фрунзенский
ул. Одинцова 105 	 Фрунзенский
ул. Тикоцкого 18 	 Первомайский
ул. Тикоцкого 18 	 Первомайский
ул. Тикоцкого 18 	 Первомайский
ул. Владислава Сырокомли 44 	 Ленинский
ул. Матусевича 25 	 Фрунзенский
ул. Тимошенко 24 к1 	 Фрунзенский
ул. Волоха 39 	 Московский
просп. Рокоссовского 54 к1 	 Ленинский
просп. Рокоссовского 114 	 Ленинский
ул. Жилуновича 23 	 Заводской
ул. Селицкого 101 	 Заводской
ул. Героев 120 Дивизии 15 	 Первомайский
ул. Пономаренко 32 	 Фрунзенский
ул. Леси Украинки 14 	 Центральный
ул. Леси Украинки 14 	 Центральный
ул. Воронянского 15 1 	 Октябрьский
просп. Дзержинского 104 	 Московский
ул. Славинского 45 	 Первомайский
ул. Седых 32 	 Первомайский
ул. Жудро 18 	 Фрунзенский
ул. Шугаева 17 к1 	 Первомайский
просп. Рокоссовского 77 	 Ленинский
просп. Дзержинского 11 	 Московский
ул. Якубовского 27 	 Фрунзенский
ул. Карпова 16 	 Московский
ул. Якубовского 27  	 Фрунзенский
ул. Притыцкого 105 	 Фрунзенский
ул. Притыцкого 109 	 Фрунзенский
ул. Гамарника 16 	 Советский
ул. Киселева 17 	 Центральный
ул. Бурдейного 17 	 Фрунзенский
просп. Жукова 27 	 Московский
ул. Ландера 62 к2 	 Октябрьский
ул. Декабристов 31 	 Московский
ул. Смирнова 41 	 Московский
ул. Белецкого 20 	 Московский
просп. Победителей 43 к3 	 Центральный
ул. Кнорина 19 	 Первомайский
ул. Славинского 35 	 Первомайский
просп. Победителей 125 	 Центральный
ул. Матусевича 62 	 Фрунзенский
просп. Рокоссовского 58 к1 кв.192 	 Ленинский
ул. Шугаева 21 к1 	 Первомайский
ул. Мирошниченко 27 	 Советский
ул. Притыцкого 122 	 Фрунзенский
просп. Пушкина 38 	 Фрунзенский
ул. Матусевича 16 	 Фрунзенский
ул. Матусевича 16 	 Фрунзенский
ул. Якубовского 49 	 Фрунзенский
